Call Sign	Number	Service Name	Subscribed Lineup	Scanned Source(s)	TuningInfo	MatchName	Service Callsign
BBC1SCO	910	BBC One Scotland	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10803 H (6421)	DVBS:282:10803:2:2047:6421	BBC1SCO
BBC1STH	911	BBC One South	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10818 V (10353)	DVBS:282:10818:2:2048:10353	BBC1STH
BBC1SE	912	BBC One South East	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10803 H (6461)	DVBS:282:10803:2:2047:6461	BBC1SE
BBC1SW	913	BBC One South West	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10818 V (10354)	DVBS:282:10818:2:2048:10354	BBC1SW
BBC1WAL	914	BBC One Wales	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10788 V (10311)	DVBS:282:10788:2:2046:10311	BBC1WAL
BBC1WEST	915	BBC One West	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10773 H (6341)	DVBS:282:10773:2:2045:6341	BBC1WEST
BBC1WSM	916	BBC One West Midlands	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10788 V (10301)	DVBS:282:10788:2:2046:10301	BBC1WSM
BBC1EYL	917	BBC One Yorks & Lincs	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10788 V (10303)	DVBS:282:10788:2:2046:10303	BBC1EYL
BBC1YNM	918	BBC One Yorkshire	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10803 H (6451)	DVBS:282:10803:2:2047:6451	BBC1YNM
BBC1NIH	921	BBC One HD (Northern Ireland)	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10847 V (6943)	DVBS:282:10847:2:2050:6943	BBC1NIH
BBC1SCH	922	BBC One HD (Scotland)	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	11023 H (8901)	DVBS:282:11023:2:2061:8901	BBC1SCH
BBC1WAH	923	BBC One HD (Wales)	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	11023 H (8911)	DVBS:282:11023:2:2061:8911	BBC1WAH
ITV1GRA	936	ITV1 (Granada)	EPG123 Freesat - North West (North West)	Digital Satellite (DVB-S)	10758 V (10080)	DVBS:282:10758:2:2044:10080	ITV1GRA
ITV1LON	937	ITV1 (London)	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10758 V (10060)	DVBS:282:10758:2:2044:10060	ITV1LON
ITV1HDL	959	ITV1 HD (London)	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	12363 V (5107)	DVBS:282:12363:2:2034:5107	ITV1HDL
BBCRDB1	981	BBC Red Button 1	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10773 H (6390)	DVBS:282:10773:2:2045:6390	BBCRDB1
